Appliances,BathroomsFull,BathroomsHalf,Bedrooms,DateListed,Description,MlsId,MlsName,Price,Rooms,StreetAddress
"[u'Range Hood', u'RangeOven']",,,4,2016-01-07 00:00:00,"Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to",16968013,CLAW,2879000,"[u'bedrooms', u'bathrooms']",828 BALLARD CANYON RD
[],,,0,2016-01-13 00:00:00,"Amazing white water, ocean view lot in gated community. Very private road. Multi-Million dollar homes on street. Gorgeous coastline Views. Huge up-side for the right buyer. Per Seller - Home may have ",16970717,CLAW,599000,[],5880 Foxview DR
"[u'Built-In BBQ', u'Microwave', u'RangeOven', u'Cooktop - Gas', u'Double Oven']",,,5,2016-01-20 00:00:00,"New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m",16970871,CLAW,45000,"[u'bedrooms', u'bathrooms']",6692 WILDLIFE RD
"[u'RangeOven', u'Range Hood']",,,6,2016-02-04 00:00:00,"Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta",316000525,ITECH,4699999,"[u'bedrooms', u'bathrooms']",845 Highland Drive
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,3,2016-03-16 00:00:00,Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom ,16106762,CLAW,25000,"[u'bedrooms', u'bathrooms']",27086 MALIBU COVE COLONY DR
"[u'Built-Ins', u'Microwave', u'Built-In Gas', u'Cooktop - Gas', u'Double Oven', u'Range Hood']",,,2,2016-03-25 00:00:00,"his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa",16109128,CLAW,6500,"[u'bedrooms', u'bathrooms']",36 BREEZE AVE
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,3,2016-04-12 00:00:00,"Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th",16114818,CLAW,5800000,"[u'bedrooms', u'bathrooms']",31652 BROAD BEACH RD
[],,,3,2016-04-13 00:00:00,"Beautiful traditional Spanish in the heart of Westwood! Charming original details include high, vaulted ceilings in living room, cozy wood-burning fireplace, arched doorways, shelving alcoves, painted",16115130,CLAW,5499,"[u'bedrooms', u'bathrooms']",1912 KELTON AVE
[],,,0,2016-04-14 00:00:00,"NEW PROJECT - SHOVEL READY. *NOTE* This project has Ready To Issue (RTI) PERMITS because the Design Review Board has approved this development, for the Mulholland Scenic Parkway Corridor, in addition ",16115640,CLAW,798000,[],11258 Laurie Drive
"[u'Built-In BBQ', u'RangeOven']",,,5,2016-04-25 00:00:00,"Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro",16118008,CLAW,6995000,"[u'bedrooms', u'bathrooms']",28011 PAQUET PL
"[u'Built-In Gas', u'RangeOven']",,,6,2016-05-05 00:00:00,Absolutely exquisite Spanish Colonial Revival Estate located in the heart of Flintridge. Former Showcase House magnificently situated on almost 2 flat acres of private park-like grounds with multiple ,316004149,ITECH,6495000,"[u'bedrooms', u'bathrooms']",887 Flintridge Avenue
[],,,3,2016-05-06 00:00:00,A prime flat ~1.5 acre lot w/ a unique use of modern finishes & innovative design by Vitus Matare. This private gated single story marvel is adorned w/ mature trees ranging from avocados to evergreens,16122648,CLAW,6649000,"[u'bedrooms', u'bathrooms']",6237 BONSALL DR
"[u'Built-In BBQ', u'Built-Ins', u'Microwave', u'RangeOven']",,,6,2016-05-16 00:00:00,"Unlike any other luxury opportunity, this beautiful Malibu compound offers a flat acre w/ over 120' of beach frontage; a lot depth extending 400'! A gated entrance, simple yet dignified, opens to a 2-",16125100,CLAW,150000,"[u'bedrooms', u'bathrooms']",0 BROAD BEACH RD
[],,,4,2016-05-26 00:00:00,"Nestled in the heart of the Santa Monica Mountains, this serene setting invites you to hike, climb, or horseback ride throughout the day, then relax to the sounds of nature narrating the clear stellar",16129206,CLAW,5975,"[u'bedrooms', u'bathrooms']",31341 BIRDELLA RD
[],,,0,2016-06-02 00:00:00,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau,16130744,CLAW,2450000,[],32036 PACIFIC COAST HWY
[],,,0,2016-06-05 00:00:00,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi,16132084,CLAW,2888000,[],888 Blackmore DR
"[u'Built-In BBQ', u'Microwave', u'RangeOven']",,,3,2016-06-06 00:00:00,Rare 98ft Ocean Front Classic Beauty reminiscent of glamorous days from a bygone era. Magnanimous rms paneled & floored w/ rain forest woods ooze casual elegance ala the Titanic. From the street you'l,16132158,CLAW,27500,"[u'bedrooms', u'bathrooms']",19252 PACIFIC COAST HWY
[],,,0,2016-06-11 00:00:00,"High up in the Hollywood Hills, are 6 contiguous flat lots with Double Sided views, totaling approx: 17,400 SF. All 6 lots have superb views of both the City of Los Angeles AND Trousdale Estates. APN ",16134056,CLAW,1498000,[],9229 Crescent Drive
[],,,0,2016-06-14 00:00:00,"COMPOUND OPPORTUNITY HIDDEN IN PLAIN SIGHT.10 contiguous VACANT LOTS ONLY, (there is NO house) currently on this property totaling approx: 2.5 acres which includes an APPROX: 18,000 SF flat pad. Once ",16134704,CLAW,1298000,[],2401 Laurel Canyon Boulevard
[],,,0,2016-06-14 00:00:00,"RESIDENTIAL DEVELOPMENT SITE: Consisting of 10 vacant lots on approx: 32 acres, with several BIG FLAT PADS and SWEEPING VALLEY VIEWS of San Fernando Valley, Warner Center and the Mountains. Reports ar",16134756,CLAW,1298000,[],24808 Woolsey Canyon RD
"[u'Range Hood', u'Microwave', u'Cooktop - Gas', u'Oven-Gas']",,,2,2016-06-16 00:00:00,"Location, location, location! Charming Mediterranean style home in the highly desirable Santa Monica Canyon. This home is customized throughout with a gourmet cooks kitchen with imported Italian grani",16134906,CLAW,1749000,"[u'bedrooms', u'bathrooms']",386 ENTRADA DR
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,3,2016-06-16 00:00:00,"Perched above a cul-de-sac in the Hollywood Hills, this Dramatic newly constructed home is of the highest quality. Steel, concrete and glass with a clean modern aesthetic and a bright inviting atmosph",16135516,CLAW,2195000,"[u'bedrooms', u'bathrooms']",7350 PACIFIC VIEW DR
"[u'Range Hood', u'Microwave']",,,2,2016-06-22 00:00:00,"Location,location,location. Located on one of BH's premier streets San Ysidro, this home is waiting for its next homeowner to put their magical touch on it. This home has 2 beds and 2 baths with an op",16137056,CLAW,2035000,"[u'bedrooms', u'bathrooms']",1422 SAN YSIDRO DR
[],,,4,2016-06-22 00:00:00,"Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl",316005809,ITECH,919000,"[u'bedrooms', u'bathrooms']",64 North Arroyo Boulevard
"[u'Double Oven', u'Gas']",,,4,2016-06-22 00:00:00,"Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c",316005875,ITECH,2700000,"[u'bedrooms', u'bathrooms']",899 Winston Avenue
"[u'Built-In BBQ', u'RangeOven']",,,4,2016-06-24 00:00:00,This beautiful 4 bedroom/4.5 bath is situated on approximately 1 acre with phenomenal mountain views in a tranquil setting and located in a gated community. The home offers a gourmet kitchen with gran,16137086,CLAW,3195000,"[u'bedrooms', u'bathrooms']",6225 GAYTON PL
